GridNo,Latitude,Longitude,Identity,PreyBase,Predators,ForestCover_Water,HumanDisturbance,OtherSpecies,Payoff_prey,Payoff_predator,Payoff_forest,Payoff_human,Payoff_other,p_prey,p_predator,p_forest,p_human,p_other,Score_prey,Score_predator,Score_forest,Score_human,Score_other,Net_score_grid,Rank,mycolor,habitat
126,26.5,81.5,1,3.32,3.32,5.381111111,0.52,8.833333333,3.32,6.233333333,5.381111111,0.52,8.833333333,1,6,-6,6,-6,3.32,37.4,-32.28666667,3.12,-53,-207.2333334,190,Yellow,-1
127,27.5,81.5,1,1.79,1.79,0.555555556,0.4,10.27777778,1.79,6.233333333,0.555555556,0.4,10.27777778,6,6,6,6,-6,10.74,37.4,3.333333336,2.4,-61.66666668,-38.96666672,165,Purple,-1
128,28.5,81.5,1,4.9,4.9,2.333333333,0,13.36666667,4.9,6.233333333,2.333333333,0,13.36666667,1,6,6,6,-6,4.9,37.4,14,0,-80.20000002,-119.5000001,175,Purple,-1
129,19.5,81.5,F43,0,4.896666667,3.382352941,0,3.333333333,0,6.233333333,3.382352941,0,3.333333333,6,6,1,6,6,0,37.4,3.382352941,0,20,303.9117647,27,Green,100
130,29.5,81.5,F44,0,6.88,2.3875,0,3.508333333,0,6.233333333,2.3875,0,3.508333333,6,-6,6,6,1,0,-37.4,14.325,0,3.508333333,-97.83333334,171,Purple,-1
131,18.5,82.5,0,0,3.441666667,1.583333333,0.583333333,0,0,6.233333333,1.583333333,0.583333333,0,6,6,6,6,6,0,37.4,9.499999998,3.499999998,0,252,61,Brown,-1
132,29.5,82.5,0,3.408333333,3.408333333,0.833333333,0.708333333,0,3.408333333,6.233333333,0.833333333,0.708333333,0,1,6,6,6,6,3.408333333,37.4,4.999999998,4.249999998,0,250.2916666,63,Brown,-1
133,30.5,82.5,0,3.22,3.22,3.066666667,3.033333333,9.611111111,3.22,6.233333333,3.066666667,3.033333333,9.611111111,1,6,6,6,-6,3.22,37.4,18.4,18.2,-57.66666667,97.76666665,115,Pink,-1
134,21.5,82.5,1,4.684,4.684,2.266666667,0.04,0,4.684,6.233333333,2.266666667,0.04,0,1,6,6,6,6,4.684,37.4,13.6,0.24,0,279.62,42,Orange,-1
135,22.5,82.5,1,4.89,4.89,4.745934959,0,0,4.89,6.233333333,4.745934959,0,0,1,6,1,6,6,4.89,37.4,4.745934959,0,0,235.1796748,77,Brown,-1
136,23.5,82.5,1,4.785,4.785,5.076388889,0,0,4.785,6.233333333,5.076388889,0,0,1,6,-6,6,6,4.785,37.4,-30.45833333,0,0,58.63333335,121,Blue,-1
137,24.5,82.5,1,5.48,5.48,10.93333333,0.08,0,5.48,6.233333333,10.93333333,0.08,0,-6,3,-6,6,6,-32.88,18.7,-65.59999998,0.48,0,-396.4999999,212,Black,-1
138,25.5,82.5,1,2.917647059,2.917647059,2.731481481,1.470588235,0,2.917647059,6.233333333,2.731481481,1.470588235,0,1,6,6,6,6,2.917647059,37.4,16.38888889,8.82352941,0,327.6503268,15,Green,100
139,26.5,82.5,1,3.344,3.344,3.366666667,0.52,0,3.344,6.233333333,3.366666667,0.52,0,1,6,1,6,6,3.344,37.4,3.366666667,3.12,0,236.1533333,74,Brown,-1
140,27.5,82.5,1,3.68,3.68,7.866666667,4.6,0,3.68,6.233333333,7.866666667,4.6,0,1,6,-6,1,6,3.68,37.4,-47.2,4.6,0,-7.6,152,Purple,-1
141,19.5,82.5,F45,0,3.78,4.666666667,0,1,0,6.233333333,4.666666667,0,1,6,6,1,6,6,0,37.4,4.666666667,0,6,240.3333333,69,Brown,-1
